grp	site_specific	Ref	relative_abu
159	Pt03 Post-Tx-offIS-24M	Ra	Malassezia_palmae	34.7266206705405
160	Pt03 Post-Tx-offIS-24M	Ra	Malassezia_rara	47.2657518902858
161	Pt03 Post-Tx-offIS-24M	Ra	Malassezia_restricta	5.53467829076987
162	Pt03 Post-Tx-offIS-24M	Vf	Malassezia_globosa	29.764100152028
163	Pt03 Post-Tx-offIS-24M	Vf	Malassezia_palmae	34.4517517400987
164	Pt03 Post-Tx-offIS-24M	Vf	Malassezia_restricta	35.7841481078733
165	Pt04 Post-Tx-offIS-24M	Ac	Malassezia_globosa	29.2200835830368
166	Pt04 Post-Tx-offIS-24M	Ac	Malassezia_restricta	70.7799164169632
167	Pt04 Post-Tx-offIS-24M	Hp	Malassezia_dermatis	1.18463880257102
168	Pt04 Post-Tx-offIS-24M	Hp	Malassezia_globosa	5.24234392758586
169	Pt04 Post-Tx-offIS-24M	Hp	Malassezia_restricta	93.5730172698431
170	Pt04 Post-Tx-offIS-24M	Ic	Malassezia_globosa	67.3155949546737
171	Pt04 Post-Tx-offIS-24M	Ic	Malassezia_restricta	32.6844050453263
172	Pt04 Post-Tx-offIS-24M	Mb	Malassezia_dermatis	1.02902034358721
173	Pt04 Post-Tx-offIS-24M	Mb	Malassezia_globosa	39.5218708260493
174	Pt04 Post-Tx-offIS-24M	Mb	Malassezia_palmae	1.40418083012207
175	Pt04 Post-Tx-offIS-24M	Mb	Malassezia_restricta	42.5601940520174
176	Pt04 Post-Tx-offIS-24M	Mb	Malassezia_sympodialis	15.484733948224
177	Pt04 Post-Tx-offIS-24M	Ra	Malassezia_restricta	100
178	Pt04 Post-Tx-offIS-24M	Vf	Malassezia_globosa	20.4352018453766
179	Pt04 Post-Tx-offIS-24M	Vf	Malassezia_restricta	79.5647981546234
180	Pt10 Post-Tx-offIS-12M	Hp	Malassezia_restricta	100
181	Pt10 Post-Tx-offIS-12M	Ic	Malassezia_globosa	100
182	Pt10 Post-Tx-offIS-12M	Vf	Malassezia_restricta	100
183	Pt10 Post-Tx-offIS-24M	Mb	Malassezia_globosa	69.6264937126603
184	Pt10 Post-Tx-offIS-24M	Mb	Malassezia_restricta	30.3735062873397
185	Pt10 Post-Tx-offIS-24M	Ra	Malassezia_globosa	17.681127775554
186	Pt10 Post-Tx-offIS-24M	Ra	Malassezia_restricta	82.318872224446
187	Pt07 Post-Tx-offIS-12M	Ac	Malassezia_restricta	100
188	Pt07 Post-Tx-offIS-12M	Hp	Malassezia_restricta	100
189	Pt07 Post-Tx-offIS-12M	Mb	Malassezia_restricta	100
190	Pt07 Post-Tx-offIS-24M	Ac	Malassezia_restricta	100
191	Pt07 Post-Tx-offIS-24M	Hp	Malassezia_restricta	100
192	Pt08 Post-Tx-offIS-24M	Ac	Malassezia_globosa	100
193	Pt08 Post-Tx-offIS-24M	Hp	Malassezia_globosa	82.3801943701599
194	Pt08 Post-Tx-offIS-24M	Hp	Malassezia_restricta	17.6198056298401
195	Pt08 Post-Tx-offIS-24M	Mb	Malassezia_globosa	87.4720954070066
196	Pt08 Post-Tx-offIS-24M	Mb	Malassezia_restricta	12.5279045929934
197	Pt08 Post-Tx-offIS-24M	Ra	Malassezia_globosa	100
198	Pt08 Post-Tx-offIS-24M	Vf	Malassezia_globosa	63.085773174572
199	Pt08 Post-Tx-offIS-24M	Vf	Malassezia_restricta	36.914226825428
200	Pt06 Post-Tx-offIS-12M	Ac	Malassezia_globosa	33.1159728868521
201	Pt06 Post-Tx-offIS-12M	Ac	Malassezia_restricta	66.8840271131479
202	Pt06 Post-Tx-offIS-12M	Hp	Malassezia_globosa	31.5624016207946
203	Pt06 Post-Tx-offIS-12M	Hp	Malassezia_restricta	68.4375983792054
204	Pt06 Post-Tx-offIS-12M	Ic	Malassezia_globosa	75.0842997513806
205	Pt06 Post-Tx-offIS-12M	Ic	Malassezia_restricta	24.9157002486194
206	Pt06 Post-Tx-offIS-12M	Mb	Malassezia_globosa	35.3998188628659
207	Pt06 Post-Tx-offIS-12M	Mb	Malassezia_restricta	64.6001811371341
208	Pt06 Post-Tx-offIS-12M	Pc	Malassezia_globosa	31.8875486913829
209	Pt06 Post-Tx-offIS-12M	Pc	Malassezia_restricta	68.1124513086171
210	Pt06 Post-Tx-offIS-12M	Ph	Malassezia_restricta	100
211	Pt06 Post-Tx-offIS-12M	Ra	Malassezia_globosa	59.7292635046069
212	Pt06 Post-Tx-offIS-12M	Ra	Malassezia_restricta	40.2707364953931
213	Pt06 Post-Tx-offIS-12M	Vf	Malassezia_globosa	24.0023252534775
214	Pt06 Post-Tx-offIS-12M	Vf	Malassezia_restricta	75.9976747465225
215	Pt06 Post-Tx-offIS-24M	Ac	Malassezia_globosa	27.2444877546015
216	Pt06 Post-Tx-offIS-24M	Ac	Malassezia_palmae	27.7691191927169
217	Pt06 Post-Tx-offIS-24M	Ac	Malassezia_restricta	44.9863930526816
218	Pt06 Post-Tx-offIS-24M	Hp	Malassezia_globosa	18.7607742958944
219	Pt06 Post-Tx-offIS-24M	Hp	Malassezia_palmae	25.3095592430307
220	Pt06 Post-Tx-offIS-24M	Hp	Malassezia_restricta	55.9296664610748
221	Pt06 Post-Tx-offIS-24M	Ic	Malassezia_globosa	96.5513157692406
222	Pt06 Post-Tx-offIS-24M	Ic	Malassezia_restricta	3.44868423075937
223	Pt06 Post-Tx-offIS-24M	Mb	Malassezia_globosa	67.9432735259257
224	Pt06 Post-Tx-offIS-24M	Mb	Malassezia_palmae	12.066431176123
225	Pt06 Post-Tx-offIS-24M	Mb	Malassezia_restricta	19.9902952979512
226	Pt06 Post-Tx-offIS-24M	Ra	Malassezia_globosa	6.00693305105351
227	Pt06 Post-Tx-offIS-24M	Ra	Malassezia_palmae	7.54851408979432
228	Pt06 Post-Tx-offIS-24M	Ra	Malassezia_rara	16.5870142924383
229	Pt06 Post-Tx-offIS-24M	Ra	Malassezia_restricta	69.8575385667139
230	Pt06 Post-Tx-offIS-24M	Vf	Malassezia_globosa	16.8939111525323
231	Pt06 Post-Tx-offIS-24M	Vf	Malassezia_palmae	28.4231733791945
232	Pt06 Post-Tx-offIS-24M	Vf	Malassezia_restricta	54.6829154682731
233	Pt16 Post-Tx-offIS-12M	Ac	Malassezia_globosa	100
234	Pt16 Post-Tx-offIS-12M	Hp	Malassezia_globosa	90.0579729676203
235	Pt16 Post-Tx-offIS-12M	Hp	Malassezia_restricta	9.94202703237969
236	Pt16 Post-Tx-offIS-12M	Ic	Malassezia_globosa	100
237	Pt16 Post-Tx-offIS-12M	Mb	Malassezia_globosa	62.5772922315185
238	Pt16 Post-Tx-offIS-12M	Mb	Malassezia_sympodialis	37.4227077684815
239	Pt16 Post-Tx-offIS-12M	Pc	Malassezia_globosa	65.1124834010092
240	Pt16 Post-Tx-offIS-12M	Pc	Malassezia_restricta	34.8875165989908
241	Pt16 Post-Tx-offIS-12M	Ra	Malassezia_globosa	70.6335693851578
242	Pt16 Post-Tx-offIS-12M	Ra	Malassezia_restricta	29.3664306148422
243	Pt16 Post-Tx-offIS-12M	Vf	Malassezia_globosa	70.337245749312
244	Pt16 Post-Tx-offIS-12M	Vf	Malassezia_restricta	29.662754250688
245	Pt15 Post-Tx-offIS-12M	Ac	Malassezia_globosa	78.6875926162877
246	Pt15 Post-Tx-offIS-12M	Ac	Malassezia_restricta	21.3124073837123
247	Pt15 Post-Tx-offIS-12M	Hp	Malassezia_globosa	83.9626406547671
248	Pt15 Post-Tx-offIS-12M	Hp	Malassezia_restricta	16.0373593452329
249	Pt15 Post-Tx-offIS-12M	Ic	Malassezia_globosa	100
250	Pt15 Post-Tx-offIS-12M	Mb	Malassezia_globosa	100
251	Pt15 Post-Tx-offIS-12M	Pc	Malassezia_globosa	100
252	Pt15 Post-Tx-offIS-12M	Ra	Malassezia_globosa	100
253	Pt15 Post-Tx-offIS-12M	Vf	Malassezia_globosa	78.3807167711214
254	Pt15 Post-Tx-offIS-12M	Vf	Malassezia_restricta	21.6192832288786
255	Pt14 Post-Tx-offIS-12M	Ac	Malassezia_restricta	100
256	Pt14 Post-Tx-offIS-12M	Hp	Malassezia_restricta	100
257	Pt14 Post-Tx-offIS-12M	Ic	Malassezia_restricta	100
258	Pt14 Post-Tx-offIS-12M	Mb	Malassezia_globosa	100
259	Pt14 Post-Tx-offIS-12M	Vf	Malassezia_restricta	100
260	Pt18 Post-Tx-offIS-12M	Mb	Malassezia_restricta	100
261	Pt18 Post-Tx-offIS-12M	Vf	Malassezia_restricta	100
262	Pt24 Post-Tx-offIS-24M	Ac	Malassezia_globosa	53.8923566281409
263	Pt24 Post-Tx-offIS-24M	Ac	Malassezia_restricta	46.1076433718591
264	Pt24 Post-Tx-offIS-24M	Mb	Malassezia_globosa	93.0746480497915
265	Pt24 Post-Tx-offIS-24M	Mb	Malassezia_restricta	6.92535195020849
266	Pt24 Post-Tx-offIS-24M	Ph	Malassezia_restricta	100
267	Pt24 Post-Tx-offIS-24M	Ra	Malassezia_globosa	74.5444792479283
268	Pt24 Post-Tx-offIS-24M	Ra	Malassezia_obtusa	4.78891453437743
269	Pt24 Post-Tx-offIS-24M	Ra	Malassezia_restricta	20.6666062176942
270	Pt19 Post-Tx-offIS-12M	Ac	Malassezia_globosa	100
271	Pt19 Post-Tx-offIS-12M	Hp	Malassezia_globosa	100
272	Pt19 Post-Tx-offIS-12M	Ic	Malassezia_globosa	100
273	Pt19 Post-Tx-offIS-12M	Mb	Malassezia_globosa	100
274	Pt19 Post-Tx-offIS-12M	Pc	Malassezia_globosa	100
275	Pt19 Post-Tx-offIS-12M	Ph	Malassezia_globosa	100
276	Pt19 Post-Tx-offIS-12M	Ra	Malassezia_globosa	100
277	Pt19 Post-Tx-offIS-12M	Vf	Malassezia_globosa	100
