subject_id	Classification	Group	mean_abu_nor
Pt03	Papillomaviridae	Pre-Tx	0.296308010985
Pt03	Papillomaviridae	Post-Tx-offIS-24M	0.0292082392
Pt03	Polyomaviridae	Pre-Tx	0
Pt03	Polyomaviridae	Post-Tx-offIS-24M	0
Pt03	Poxviridae	Pre-Tx	0
Pt03	Poxviridae	Post-Tx-offIS-24M	0
Pt04	Alphapolyomavirus	Pre-Tx	0.000446825774972817
Pt04	Alphapolyomavirus	Post-Tx-offIS-24M	0.154435413
Pt04	Anelloviridae	Pre-Tx	1.0637577625017e-05
Pt04	Anelloviridae	Post-Tx-offIS-24M	0.186296062
Pt04	Betapapillomavirus	Pre-Tx	2.75135889430363
Pt04	Betapapillomavirus	Post-Tx-offIS-24M	0.0227410379
Pt04	Deltapolyomavirus	Pre-Tx	0.00380795983229513
Pt04	Deltapolyomavirus	Post-Tx-offIS-24M	0
Pt04	Gammapapillomavirus	Pre-Tx	5.00183672223943
Pt04	Gammapapillomavirus	Post-Tx-offIS-24M	1.5111873173
Pt04	Herpesviridae	Pre-Tx	1.536291e-07
Pt04	Herpesviridae	Post-Tx-offIS-24M	0
Pt04	Molluscipoxvirus	Pre-Tx	0.00289527712889593
Pt04	Molluscipoxvirus	Post-Tx-offIS-24M	0.00285824817
Pt04	Non-viruses	Pre-Tx	0.0181142208105497
Pt04	Non-viruses	Post-Tx-offIS-24M	6.11647394613
Pt04	Papillomaviridae	Pre-Tx	0.221529145311125
Pt04	Papillomaviridae	Post-Tx-offIS-24M	0.0027142745
Pt04	Polyomaviridae	Pre-Tx	0
Pt04	Polyomaviridae	Post-Tx-offIS-24M	0.003293701
Pt04	Poxviridae	Pre-Tx	1.63392379917434e-07
Pt04	Poxviridae	Post-Tx-offIS-24M	0
Pt13	Alphapolyomavirus	Pre-Tx	2.52015406053
Pt13	Alphapolyomavirus	Post-Tx-onIS>12M	0.498672165
Pt13	Anelloviridae	Pre-Tx	0
Pt13	Anelloviridae	Post-Tx-onIS>12M	0
Pt13	Betapapillomavirus	Pre-Tx	1.354171864402
Pt13	Betapapillomavirus	Post-Tx-onIS>12M	0.0175429023
Pt13	Deltapolyomavirus	Pre-Tx	2.64840858573
Pt13	Deltapolyomavirus	Post-Tx-onIS>12M	0.0015605394
Pt13	Gammapapillomavirus	Pre-Tx	0.406586228728
Pt13	Gammapapillomavirus	Post-Tx-onIS>12M	0.2614688959
Pt13	Herpesviridae	Pre-Tx	7.58593907e-05
Pt13	Herpesviridae	Post-Tx-onIS>12M	0
Pt13	Molluscipoxvirus	Pre-Tx	1.6352041e-06
Pt13	Molluscipoxvirus	Post-Tx-onIS>12M	3.800793e-05
Pt13	Non-viruses	Pre-Tx	0.0683250940482002
Pt13	Non-viruses	Post-Tx-onIS>12M	6.18983322147
Pt13	Papillomaviridae	Pre-Tx	0.001578262365
Pt13	Papillomaviridae	Post-Tx-onIS>12M	0.029243373
Pt13	Polyomaviridae	Pre-Tx	0.000698409602
Pt13	Polyomaviridae	Post-Tx-onIS>12M	0.001640895
Pt13	Poxviridae	Pre-Tx	0
Pt13	Poxviridae	Post-Tx-onIS>12M	0
Pt10	Alphapolyomavirus	Pre-Tx	0.00021512245
Pt10	Alphapolyomavirus	Post-Tx-offIS-12M	0.0281947817
Pt10	Alphapolyomavirus	Post-Tx-offIS-24M	0.21932328
Pt10	Anelloviridae	Pre-Tx	0
Pt10	Anelloviridae	Post-Tx-offIS-12M	0
Pt10	Anelloviridae	Post-Tx-offIS-24M	0
