site_specific	kingdom	Group	site_mean
Ac	Eukaryotic virus	Post-Tx-onIS-1M	0.962181404011033
Ac	Eukaryotic virus	Post-Tx-onIS-2M	0.866698611875733
Ac	Eukaryotic virus	Post-Tx-onIS-3M	0.983458549438814
Ac	Eukaryotic virus	Post-Tx-onIS-6M	0.590300886978714
Ac	Eukaryotic virus	Post-Tx-onIS>12M	0.213239037434333
Ac	Eukaryotic virus	Post-Tx-offIS-12M	0.0488840495274615
Ac	Eukaryotic virus	Post-Tx-offIS-24M	0.00286903346475
Ac	Eukaryotic virus	HVs	0.000265911683716667
Ac	Eukaryotic virus	Donor	0.0179253330459571
Ac	Fungi	Pre-Tx	0.00204012320208515
Ac	Fungi	Post-Tx-onIS-1M	0.000691333767266667
Ac	Fungi	Post-Tx-onIS-2M	0.000212383955766667
Ac	Fungi	Post-Tx-onIS-3M	0.000182192538428571
Ac	Fungi	Post-Tx-onIS-6M	0.0356055914728571
Ac	Fungi	Post-Tx-onIS>12M	0.071558949536
Ac	Fungi	Post-Tx-offIS-12M	0.130780022554923
Ac	Fungi	Post-Tx-offIS-24M	0.0777082245689167
Ac	Fungi	HVs	0.0956132204342
Ac	Fungi	Donor	0.113363897087686
Ac	Phage	Pre-Tx	8.62529708200489e-05
Ac	Phage	Post-Tx-onIS-1M	2.34516173333333e-05
Ac	Phage	Post-Tx-onIS-2M	2.70461073666667e-05
Ac	Phage	Post-Tx-onIS-3M	4.59393885714286e-06
Ac	Phage	Post-Tx-onIS-6M	0.000247867298942857
Ac	Phage	Post-Tx-onIS>12M	0.00012119984
Ac	Phage	Post-Tx-offIS-12M	0.000999971707384615
Ac	Phage	Post-Tx-offIS-24M	0.0087140513685
Ac	Phage	HVs	0.000683721620633333
Ac	Phage	Donor	0.0007133454642
Ic	Bacteria	Pre-Tx	0.399604878103826
Ic	Bacteria	Post-Tx-onIS-1M	0.179914682738
Ic	Bacteria	Post-Tx-onIS-2M	0.242073198118933
Ic	Bacteria	Post-Tx-onIS-3M	0.325807650400814
Ic	Bacteria	Post-Tx-onIS-6M	0.701570853420657
Ic	Bacteria	Post-Tx-onIS>12M	0.93714926658165
Ic	Bacteria	Post-Tx-offIS-12M	0.922178449209654
Ic	Bacteria	Post-Tx-offIS-24M	0.927779191074275
Ic	Bacteria	HVs	0.823462544238783
Ic	Bacteria	Donor	0.847911695917029
Ic	Eukaryotic virus	Pre-Tx	0.596907740234261
