subject_id	site_specific	new_taxa	Group	rela_abu	Taxa
102	Hv01	Ra	Staphylococcus hominis	HVs	0.0030763314747164	Staphylococcus hominis
103	Hv01	Vf	Staphylococcus	HVs	0.0792854275391408	Other Staphylococcus
104	Hv01	Vf	Staphylococcus aureus	HVs	0	Staphylococcus aureus
105	Hv01	Vf	Staphylococcus capitis	HVs	0	Staphylococcus capitis
106	Hv01	Vf	Staphylococcus epidermidis	HVs	0.032517061421116	Staphylococcus epidermidis
107	Hv01	Vf	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
108	Hv01	Vf	Staphylococcus hominis	HVs	0.00782818145323163	Staphylococcus hominis
109	Hv03	Ac	Staphylococcus	HVs	0.0208235844642022	Other Staphylococcus
110	Hv03	Ac	Staphylococcus aureus	HVs	0	Staphylococcus aureus
111	Hv03	Ac	Staphylococcus capitis	HVs	0.0042115114646701	Staphylococcus capitis
112	Hv03	Ac	Staphylococcus epidermidis	HVs	0.205194197473093	Staphylococcus epidermidis
113	Hv03	Ac	Staphylococcus haemolyticus	HVs	0.000233972859148339	Staphylococcus haemolyticus
114	Hv03	Ac	Staphylococcus hominis	HVs	0.0737014506317268	Staphylococcus hominis
115	Hv03	Ic	Staphylococcus	HVs	0.0184019370460048	Other Staphylococcus
116	Hv03	Ic	Staphylococcus aureus	HVs	0	Staphylococcus aureus
117	Hv03	Ic	Staphylococcus capitis	HVs	0	Staphylococcus capitis
118	Hv03	Ic	Staphylococcus epidermidis	HVs	0.023728813559322	Staphylococcus epidermidis
119	Hv03	Ic	Staphylococcus haemolyticus	HVs	0.000726392251815981	Staphylococcus haemolyticus
120	Hv03	Ic	Staphylococcus hominis	HVs	0.00823244552058111	Staphylococcus hominis
121	Hv03	Mb	Staphylococcus	HVs	0.00546780072904009	Other Staphylococcus
122	Hv03	Mb	Staphylococcus aureus	HVs	0	Staphylococcus aureus
123	Hv03	Mb	Staphylococcus capitis	HVs	0	Staphylococcus capitis
124	Hv03	Mb	Staphylococcus epidermidis	HVs	0.00222762251923856	Staphylococcus epidermidis
125	Hv03	Mb	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
126	Hv03	Mb	Staphylococcus hominis	HVs	0	Staphylococcus hominis
127	Hv03	Ph	Staphylococcus	HVs	0.478114478114478	Other Staphylococcus
128	Hv03	Ph	Staphylococcus aureus	HVs	0	Staphylococcus aureus
129	Hv03	Ph	Staphylococcus capitis	HVs	0.00112233445566779	Staphylococcus capitis
130	Hv03	Ph	Staphylococcus epidermidis	HVs	0.194725028058361	Staphylococcus epidermidis
131	Hv03	Ph	Staphylococcus haemolyticus	HVs	0.00505050505050505	Staphylococcus haemolyticus
132	Hv03	Ph	Staphylococcus hominis	HVs	0.13047138047138	Staphylococcus hominis
133	Hv03	Ra	Staphylococcus	HVs	0.00183001220008134	Other Staphylococcus
134	Hv03	Ra	Staphylococcus aureus	HVs	0	Staphylococcus aureus
135	Hv03	Ra	Staphylococcus capitis	HVs	0.000406669377795852	Staphylococcus capitis
136	Hv03	Ra	Staphylococcus epidermidis	HVs	0.0229768198454657	Staphylococcus epidermidis
137	Hv03	Ra	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
138	Hv03	Ra	Staphylococcus hominis	HVs	0	Staphylococcus hominis
139	Hv03	Vf	Staphylococcus	HVs	0.00790429395428326	Other Staphylococcus
140	Hv03	Vf	Staphylococcus aureus	HVs	0	Staphylococcus aureus
141	Hv03	Vf	Staphylococcus capitis	HVs	0.00170903653065584	Staphylococcus capitis
142	Hv03	Vf	Staphylococcus epidermidis	HVs	0.00491348002563555	Staphylococcus epidermidis
143	Hv03	Vf	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
144	Hv03	Vf	Staphylococcus hominis	HVs	0.00149540696432386	Staphylococcus hominis
145	Hv06	Ac	Staphylococcus	HVs	0	Other Staphylococcus
146	Hv06	Ac	Staphylococcus aureus	HVs	0	Staphylococcus aureus
147	Hv06	Ac	Staphylococcus capitis	HVs	0	Staphylococcus capitis
148	Hv06	Ac	Staphylococcus epidermidis	HVs	0.0121478418195916	Staphylococcus epidermidis
149	Hv06	Ac	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
150	Hv06	Ac	Staphylococcus hominis	HVs	0	Staphylococcus hominis
151	Hv06	Ic	Staphylococcus	HVs	0	Other Staphylococcus
152	Hv06	Ic	Staphylococcus aureus	HVs	0	Staphylococcus aureus
153	Hv06	Ic	Staphylococcus capitis	HVs	0	Staphylococcus capitis
154	Hv06	Ic	Staphylococcus epidermidis	HVs	0.00508967523024721	Staphylococcus epidermidis
155	Hv06	Ic	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
156	Hv06	Ic	Staphylococcus hominis	HVs	0.0482307319437712	Staphylococcus hominis
157	Hv06	Mb	Staphylococcus	HVs	0	Other Staphylococcus
158	Hv06	Mb	Staphylococcus aureus	HVs	0	Staphylococcus aureus
159	Hv06	Mb	Staphylococcus capitis	HVs	0	Staphylococcus capitis
160	Hv06	Mb	Staphylococcus epidermidis	HVs	0.00179010964421571	Staphylococcus epidermidis
161	Hv06	Mb	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
162	Hv06	Mb	Staphylococcus hominis	HVs	0.00313269187737749	Staphylococcus hominis
163	Hv06	Pc	Staphylococcus	HVs	0.00170019835647492	Other Staphylococcus
164	Hv06	Pc	Staphylococcus aureus	HVs	0.000566732785491641	Staphylococcus aureus
165	Hv06	Pc	Staphylococcus capitis	HVs	0	Staphylococcus capitis
166	Hv06	Pc	Staphylococcus epidermidis	HVs	0.00651742703315387	Staphylococcus epidermidis
167	Hv06	Pc	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
168	Hv06	Pc	Staphylococcus hominis	HVs	0.036270898271465	Staphylococcus hominis
169	Hv06	Ra	Staphylococcus	HVs	0	Other Staphylococcus
170	Hv06	Ra	Staphylococcus aureus	HVs	0	Staphylococcus aureus
171	Hv06	Ra	Staphylococcus capitis	HVs	0	Staphylococcus capitis
172	Hv06	Ra	Staphylococcus epidermidis	HVs	0.0698375870069605	Staphylococcus epidermidis
173	Hv06	Ra	Staphylococcus haemolyticus	HVs	0	Staphylococcus haemolyticus
174	Hv06	Ra	Staphylococcus hominis	HVs	0.020185614849188	Staphylococcus hominis
175	Hv06	Vf	Staphylococcus	HVs	0	Other Staphylococcus
176	Hv06	Vf	Staphylococcus aureus	HVs	0	Staphylococcus aureus
177	Hv06	Vf	Staphylococcus capitis	HVs	0	Staphylococcus capitis
178	Hv06	Vf	Staphylococcus epidermidis	HVs	0.01388246182323	Staphylococcus epidermidis
