Group_Comparison	Site_Specific	Group1	Mean	Group2	Sd	Group
78	Post-Tx-onIS-2M vs Pre-Tx	Ph	mean_post	0.803471659323828	sd_post	0.184201388191796	mean_post
79	Post-Tx-onIS-2M vs Pre-Tx	Ra	mean_post	0.730960043264768	sd_post	0.165387814182833	mean_post
80	Post-Tx-onIS-2M vs Pre-Tx	Vf	mean_post	0.889934834985752	sd_post	0.0252891952186403	mean_post
81	Post-Tx-onIS-3M vs Pre-Tx	Ac	mean_post	0.719284904232258	sd_post	0.272747533119908	mean_post
82	Post-Tx-onIS-3M vs Pre-Tx	Hp	mean_post	0.901702892033549	sd_post	0.0623002873758554	mean_post
83	Post-Tx-onIS-3M vs Pre-Tx	Ic	mean_post	0.84864929280841	sd_post	0.148673531036818	mean_post
84	Post-Tx-onIS-3M vs Pre-Tx	Mb	mean_post	0.742024046407813	sd_post	0.244869029515183	mean_post
85	Post-Tx-onIS-3M vs Pre-Tx	Pc	mean_post	0.737098272630416	sd_post	0.21842063851197	mean_post
86	Post-Tx-onIS-3M vs Pre-Tx	Ph	mean_post	0.85201756391294	sd_post	0.136064782079184	mean_post
87	Post-Tx-onIS-3M vs Pre-Tx	Ra	mean_post	0.871479167415176	sd_post	0.117366085276085	mean_post
88	Post-Tx-onIS-3M vs Pre-Tx	Vf	mean_post	0.874698979075357	sd_post	0.140361120708246	mean_post
89	Post-Tx-onIS-6M vs Pre-Tx	Ac	mean_post	0.719026404655744	sd_post	0.234880658642678	mean_post
90	Post-Tx-onIS-6M vs Pre-Tx	Hp	mean_post	0.804582005078369	sd_post	0.200310465448142	mean_post
91	Post-Tx-onIS-6M vs Pre-Tx	Ic	mean_post	0.774696427731191	sd_post	0.170871768211522	mean_post
92	Post-Tx-onIS-6M vs Pre-Tx	Mb	mean_post	0.744882273328811	sd_post	0.235951580518412	mean_post
93	Post-Tx-onIS-6M vs Pre-Tx	Pc	mean_post	0.713509698775298	sd_post	0.235237871325246	mean_post
94	Post-Tx-onIS-6M vs Pre-Tx	Ph	mean_post	0.781716966285127	sd_post	0.20187858588553	mean_post
95	Post-Tx-onIS-6M vs Pre-Tx	Ra	mean_post	0.775150602314878	sd_post	0.335239407622078	mean_post
96	Post-Tx-onIS-6M vs Pre-Tx	Vf	mean_post	0.842319111453525	sd_post	0.147748850144382	mean_post
