Sample	ASVcount	site_specific	grp
183	VXV20165	34	Ra	Pre-Tx-3M
184	VXV20166	230	Vf	Pre-Tx-3M
185	VXV20259	160	Ac	Pre-Tx-3M
186	VXV20260	193	Hp	Pre-Tx-3M
187	VXV20261	120	Ic	Pre-Tx-3M
188	VXV20262	156	Mb	Pre-Tx-3M
189	VXV20263	117	Pc	Pre-Tx-3M
190	VXV20264	312	Ph	Pre-Tx-3M
191	VXV20265	122	Ra	Pre-Tx-3M
192	VXV20266	181	Vf	Pre-Tx-3M
193	VXV19592	68	Ac	Post-Tx-onIS-6M
194	VXV19593	55	Hp	Post-Tx-onIS-6M
195	VXV19594	97	Ic	Post-Tx-onIS-6M
196	VXV19595	49	Mb	Post-Tx-onIS-6M
197	VXV19597	382	Ph	Post-Tx-onIS-6M
198	VXV19598	43	Ra	Post-Tx-onIS-6M
199	VXV19599	39	Vf	Post-Tx-onIS-6M
200	VXV20095	105	Pc	Post-Tx-onIS-6M
201	VXV18146	108	Ac	Post-Tx-onIS-6M
202	VXV18150	98	Ic	Post-Tx-onIS-6M
203	VXV18152	159	Mb	Post-Tx-onIS-6M
204	VXV18159	183	Ph	Post-Tx-onIS-6M
205	VXV18166	284	Ac	Post-Tx-onIS-6M
206	VXV18174	234	Hp	Post-Tx-onIS-6M
207	VXV18179	169	Ic	Post-Tx-onIS-6M
208	VXV18184	220	Mb	Post-Tx-onIS-6M
209	VXV18189	62	Pc	Post-Tx-onIS-6M
210	VXV18194	87	Ph	Post-Tx-onIS-6M
211	VXV18200	9	Ra	Post-Tx-onIS-6M
212	VXV18204	303	Vf	Post-Tx-onIS-6M
213	VXV19630	88	Ac	Post-Tx-onIS-6M
214	VXV19631	130	Hp	Post-Tx-onIS-6M
215	VXV19632	98	Ic	Post-Tx-onIS-6M
216	VXV19635	180	Ph	Post-Tx-onIS-6M
217	VXV19636	80	Ra	Post-Tx-onIS-6M
218	VXV19637	145	Vf	Post-Tx-onIS-6M
219	VXV20099	135	Mb	Post-Tx-onIS-6M
220	VXV20100	268	Pc	Post-Tx-onIS-6M
221	VXV19662	164	Ac	Post-Tx-onIS-6M
222	VXV19663	143	Hp	Post-Tx-onIS-6M
223	VXV19664	215	Ic	Post-Tx-onIS-6M
224	VXV19665	158	Mb	Post-Tx-onIS-6M
225	VXV19666	171	Pc	Post-Tx-onIS-6M
226	VXV19667	52	Ph	Post-Tx-onIS-6M
227	VXV19668	131	Ra	Post-Tx-onIS-6M
228	VXV19669	166	Vf	Post-Tx-onIS-6M
229	VXV20213	53	Hp	Post-Tx-onIS-6M
230	VXV20214	45	Ic	Post-Tx-onIS-6M
231	VXV20215	49	Mb	Post-Tx-onIS-6M
232	VXV20216	97	Pc	Post-Tx-onIS-6M
233	VXV20218	24	Ra	Post-Tx-onIS-6M
234	VXV20177	220	Ac	Post-Tx-onIS-6M
235	VXV20178	202	Hp	Post-Tx-onIS-6M
236	VXV20179	266	Ic	Post-Tx-onIS-6M
237	VXV20180	248	Mb	Post-Tx-onIS-6M
238	VXV20181	319	Ph	Post-Tx-onIS-6M
239	VXV20182	239	Pc	Post-Tx-onIS-6M
240	VXV20184	232	Vf	Post-Tx-onIS-6M
241	VXV19582	190	Ac	Pre-Tx-6M
242	VXV19585	158	Hp	Pre-Tx-6M
243	VXV19586	99	Ic	Pre-Tx-6M
244	VXV19587	199	Mb	Pre-Tx-6M
245	VXV19588	201	Pc	Pre-Tx-6M
246	VXV19589	150	Ph	Pre-Tx-6M
247	VXV19590	128	Ra	Pre-Tx-6M
248	VXV19591	173	Vf	Pre-Tx-6M
249	VXV04766	33	Ic	Pre-Tx-6M
250	VXV04767	58	Mb	Pre-Tx-6M
251	VXV04769	113	Ph	Pre-Tx-6M
252	VXV18145	74	Ac	Pre-Tx-6M
253	VXV18170	48	Ac	Pre-Tx-6M
254	VXV18171	333	Hp	Pre-Tx-6M
255	VXV18176	35	Ic	Pre-Tx-6M
256	VXV18181	150	Mb	Pre-Tx-6M
257	VXV18186	259	Pc	Pre-Tx-6M
258	VXV18191	279	Ph	Pre-Tx-6M
259	VXV18197	161	Ra	Pre-Tx-6M
260	VXV18201	36	Vf	Pre-Tx-6M
261	VXV19621	188	Ac	Pre-Tx-6M
262	VXV19622	159	Hp	Pre-Tx-6M
263	VXV19623	155	Ic	Pre-Tx-6M
264	VXV19624	178	Mb	Pre-Tx-6M
265	VXV19625	222	Pc	Pre-Tx-6M
266	VXV19626	222	Ph	Pre-Tx-6M
267	VXV19627	101	Ra	Pre-Tx-6M
268	VXV19628	185	Vf	Pre-Tx-6M
269	VXV19646	66	Ac	Pre-Tx-6M
270	VXV19647	119	Hp	Pre-Tx-6M
271	VXV19648	69	Ic	Pre-Tx-6M
272	VXV19649	94	Mb	Pre-Tx-6M
273	VXV19650	59	Pc	Pre-Tx-6M
274	VXV19651	180	Ph	Pre-Tx-6M
275	VXV19652	120	Ra	Pre-Tx-6M
276	VXV19653	97	Vf	Pre-Tx-6M
277	VXV19688	33	Hp	Pre-Tx-6M
278	VXV19689	20	Ic	Pre-Tx-6M
279	VXV19690	37	Mb	Pre-Tx-6M
280	VXV19691	19	Pc	Pre-Tx-6M
281	VXV19693	34	Ra	Pre-Tx-6M
282	VXV20159	17	Ac	Pre-Tx-6M
283	VXV20160	209	Hp	Pre-Tx-6M
284	VXV20161	114	Ic	Pre-Tx-6M
285	VXV20162	163	Mb	Pre-Tx-6M
286	VXV20163	194	Ph	Pre-Tx-6M
287	VXV20164	24	Pc	Pre-Tx-6M
288	VXV20166	230	Vf	Pre-Tx-6M
289	VXV19511	255	Ac	Post-Tx-offIS-12M
290	VXV19512	80	Hp	Post-Tx-offIS-12M
291	VXV19514	187	Mb	Post-Tx-offIS-12M
292	VXV19515	270	Pc	Post-Tx-offIS-12M
293	VXV19516	70	Ph	Post-Tx-offIS-12M
294	VXV19517	61	Ra	Post-Tx-offIS-12M
295	VXV19518	390	Vf	Post-Tx-offIS-12M
296	VXV20092	303	Ic	Post-Tx-offIS-12M
297	VXV17984	158	Ac	Post-Tx-offIS-12M
298	VXV17991	70	Hp	Post-Tx-offIS-12M
299	VXV17993	65	Ic	Post-Tx-offIS-12M
300	VXV17996	49	Mb	Post-Tx-offIS-12M
301	VXV18010	152	Vf	Post-Tx-offIS-12M
302	VXV18062	238	Hp	Post-Tx-offIS-12M
303	VXV18064	117	Ic	Post-Tx-offIS-12M
304	VXV18066	245	Mb	Post-Tx-offIS-12M
305	VXV18070	209	Ph	Post-Tx-offIS-12M
306	VXV18075	245	Vf	Post-Tx-offIS-12M
307	VXV18113	354	Ac	Post-Tx-offIS-12M
308	VXV18115	321	Hp	Post-Tx-offIS-12M
309	VXV18117	172	Ic	Post-Tx-offIS-12M
310	VXV18119	267	Mb	Post-Tx-offIS-12M
311	VXV18125	448	Ph	Post-Tx-offIS-12M
312	VXV18128	339	Vf	Post-Tx-offIS-12M
313	VXV18130	195	Ac	Post-Tx-offIS-12M
314	VXV18132	191	Hp	Post-Tx-offIS-12M
315	VXV18133	220	Ic	Post-Tx-offIS-12M
316	VXV18134	238	Mb	Post-Tx-offIS-12M
317	VXV18141	226	Ph	Post-Tx-offIS-12M
318	VXV18144	253	Vf	Post-Tx-offIS-12M
319	VXV19565	122	Ac	Post-Tx-offIS-12M
320	VXV19566	87	Hp	Post-Tx-offIS-12M
321	VXV19567	116	Ic	Post-Tx-offIS-12M
322	VXV19568	134	Mb	Post-Tx-offIS-12M
323	VXV19570	123	Ph	Post-Tx-offIS-12M
324	VXV19571	65	Ra	Post-Tx-offIS-12M
325	VXV19572	85	Vf	Post-Tx-offIS-12M
326	VXV19600	245	Ac	Post-Tx-offIS-12M
327	VXV19601	165	Hp	Post-Tx-offIS-12M
328	VXV19602	167	Ic	Post-Tx-offIS-12M
329	VXV19603	168	Mb	Post-Tx-offIS-12M
330	VXV19604	368	Pc	Post-Tx-offIS-12M
331	VXV19605	479	Ph	Post-Tx-offIS-12M
332	VXV19606	24	Ra	Post-Tx-offIS-12M
333	VXV19607	323	Vf	Post-Tx-offIS-12M
334	VXV18147	259	Ac	Post-Tx-offIS-12M
335	VXV18151	98	Ic	Post-Tx-offIS-12M
336	VXV18153	184	Mb	Post-Tx-offIS-12M
337	VXV18160	33	Ph	Post-Tx-offIS-12M
338	VXV18162	199	Ra	Post-Tx-offIS-12M
339	VXV18163	237	Vf	Post-Tx-offIS-12M
340	VXV19612	86	Ac	Post-Tx-offIS-12M
341	VXV19613	160	Hp	Post-Tx-offIS-12M
342	VXV19614	110	Ic	Post-Tx-offIS-12M
343	VXV19616	193	Pc	Post-Tx-offIS-12M
344	VXV19617	62	Ph	Post-Tx-offIS-12M
345	VXV19618	55	Ra	Post-Tx-offIS-12M
346	VXV19619	77	Vf	Post-Tx-offIS-12M
347	VXV18167	282	Ac	Post-Tx-offIS-12M
348	VXV18175	167	Hp	Post-Tx-offIS-12M
349	VXV18180	177	Ic	Post-Tx-offIS-12M
350	VXV18185	165	Mb	Post-Tx-offIS-12M
351	VXV18190	157	Pc	Post-Tx-offIS-12M
352	VXV18195	34	Ph	Post-Tx-offIS-12M
353	VXV18196	38	Ra	Post-Tx-offIS-12M
354	VXV18205	180	Vf	Post-Tx-offIS-12M
355	VXV19638	189	Ac	Post-Tx-offIS-12M
356	VXV19639	173	Hp	Post-Tx-offIS-12M
357	VXV19640	145	Ic	Post-Tx-offIS-12M
358	VXV19641	152	Mb	Post-Tx-offIS-12M
359	VXV19642	184	Pc	Post-Tx-offIS-12M
360	VXV19643	115	Ph	Post-Tx-offIS-12M
361	VXV19644	131	Ra	Post-Tx-offIS-12M
362	VXV19645	223	Vf	Post-Tx-offIS-12M
363	VXV20222	95	Hp	Post-Tx-offIS-12M
364	VXV20223	51	Ic	Post-Tx-offIS-12M
365	VXV20224	91	Mb	Post-Tx-offIS-12M
366	VXV20225	144	Pc	Post-Tx-offIS-12M
367	VXV20226	137	Ph	Post-Tx-offIS-12M
368	VXV20227	37	Ra	Post-Tx-offIS-12M
369	VXV20186	314	Ac	Post-Tx-offIS-12M
370	VXV20187	310	Hp	Post-Tx-offIS-12M
371	VXV20188	352	Ic	Post-Tx-offIS-12M
372	VXV20189	204	Mb	Post-Tx-offIS-12M
373	VXV20190	399	Ph	Post-Tx-offIS-12M
374	VXV20191	396	Pc	Post-Tx-offIS-12M
375	VXV20192	135	Ra	Post-Tx-offIS-12M
376	VXV20193	174	Vf	Post-Tx-offIS-12M
377	VXV19503	95	Ac	Pre-Tx-12M
378	VXV19504	129	Hp	Pre-Tx-12M
379	VXV19505	17	Ic	Pre-Tx-12M
380	VXV19506	61	Mb	Pre-Tx-12M
381	VXV19507	32	Pc	Pre-Tx-12M
382	VXV19508	25	Ph	Pre-Tx-12M
383	VXV19509	63	Ra	Pre-Tx-12M
384	VXV19510	216	Vf	Pre-Tx-12M
385	VXV17983	116	Ac	Pre-Tx-12M
386	VXV17990	91	Hp	Pre-Tx-12M
387	VXV17992	105	Ic	Pre-Tx-12M
388	VXV17995	110	Mb	Pre-Tx-12M
389	VXV18009	153	Vf	Pre-Tx-12M
390	VXV18061	205	Hp	Pre-Tx-12M
391	VXV18063	132	Ic	Pre-Tx-12M
392	VXV18065	153	Mb	Pre-Tx-12M
393	VXV18074	201	Vf	Pre-Tx-12M
394	VXV20093	351	Ph	Pre-Tx-12M
395	VXV18112	150	Ac	Pre-Tx-12M
396	VXV18114	102	Hp	Pre-Tx-12M
397	VXV18116	191	Ic	Pre-Tx-12M
398	VXV18118	148	Mb	Pre-Tx-12M
399	VXV18124	420	Ph	Pre-Tx-12M
400	VXV18127	100	Vf	Pre-Tx-12M
401	VXV04754	201	Ic	Pre-Tx-12M
402	VXV04755	183	Mb	Pre-Tx-12M
403	VXV04757	171	Ph	Pre-Tx-12M
404	VXV04758	233	Vf	Pre-Tx-12M
405	VXV18129	204	Ac	Pre-Tx-12M
406	VXV18131	172	Hp	Pre-Tx-12M
407	VXV04760	66	Ic	Pre-Tx-12M
408	VXV04761	80	Mb	Pre-Tx-12M
409	VXV04763	75	Ph	Pre-Tx-12M
410	VXV04764	127	Vf	Pre-Tx-12M
411	VXV19562	69	Ac	Pre-Tx-12M
412	VXV19563	139	Hp	Pre-Tx-12M
413	VXV19564	102	Ra	Pre-Tx-12M
414	VXV19582	190	Ac	Pre-Tx-12M
415	VXV19585	158	Hp	Pre-Tx-12M
416	VXV19586	99	Ic	Pre-Tx-12M
417	VXV19587	199	Mb	Pre-Tx-12M
418	VXV19588	201	Pc	Pre-Tx-12M
419	VXV19589	150	Ph	Pre-Tx-12M
420	VXV19590	128	Ra	Pre-Tx-12M
421	VXV19591	173	Vf	Pre-Tx-12M
422	VXV04766	33	Ic	Pre-Tx-12M
423	VXV04767	58	Mb	Pre-Tx-12M
424	VXV04769	113	Ph	Pre-Tx-12M
425	VXV04770	59	Vf	Pre-Tx-12M
426	VXV18145	74	Ac	Pre-Tx-12M
427	VXV18161	80	Ra	Pre-Tx-12M
428	VXV04783	35	Ic	Pre-Tx-12M
429	VXV04785	118	Pc	Pre-Tx-12M
430	VXV04786	52	Ph	Pre-Tx-12M
431	VXV04787	50	Vf	Pre-Tx-12M
432	VXV19610	50	Ra	Pre-Tx-12M
433	VXV20096	57	Ac	Pre-Tx-12M
434	VXV20097	134	Hp	Pre-Tx-12M
435	VXV18170	48	Ac	Pre-Tx-12M
436	VXV18171	333	Hp	Pre-Tx-12M
437	VXV18176	35	Ic	Pre-Tx-12M
438	VXV18181	150	Mb	Pre-Tx-12M
439	VXV18186	259	Pc	Pre-Tx-12M
440	VXV18191	279	Ph	Pre-Tx-12M
441	VXV18197	161	Ra	Pre-Tx-12M
442	VXV18201	36	Vf	Pre-Tx-12M
443	VXV19621	188	Ac	Pre-Tx-12M
444	VXV19622	159	Hp	Pre-Tx-12M
445	VXV19623	155	Ic	Pre-Tx-12M
446	VXV19624	178	Mb	Pre-Tx-12M
447	VXV19625	222	Pc	Pre-Tx-12M
448	VXV19626	222	Ph	Pre-Tx-12M
449	VXV19627	101	Ra	Pre-Tx-12M
450	VXV19628	185	Vf	Pre-Tx-12M
451	VXV19688	33	Hp	Pre-Tx-12M
452	VXV19689	20	Ic	Pre-Tx-12M
453	VXV19690	37	Mb	Pre-Tx-12M
454	VXV19691	19	Pc	Pre-Tx-12M
455	VXV19692	53	Ph	Pre-Tx-12M
456	VXV19693	34	Ra	Pre-Tx-12M
457	VXV20159	17	Ac	Pre-Tx-12M
458	VXV20160	209	Hp	Pre-Tx-12M
459	VXV20161	114	Ic	Pre-Tx-12M
460	VXV20162	163	Mb	Pre-Tx-12M
461	VXV20163	194	Ph	Pre-Tx-12M
462	VXV20164	24	Pc	Pre-Tx-12M
463	VXV20165	34	Ra	Pre-Tx-12M
464	VXV20166	230	Vf	Pre-Tx-12M
465	VXV17938	197	Ac	Post-Tx-offIS-24M
466	VXV17949	362	Vf	Post-Tx-offIS-24M
467	VXV19519	228	Ac	Post-Tx-offIS-24M
468	VXV19520	142	Hp	Post-Tx-offIS-24M
469	VXV19521	204	Ic	Post-Tx-offIS-24M
470	VXV19522	154	Mb	Post-Tx-offIS-24M
471	VXV19523	89	Pc	Post-Tx-offIS-24M
472	VXV19524	70	Ph	Post-Tx-offIS-24M
473	VXV19525	87	Ra	Post-Tx-offIS-24M
474	VXV19526	192	Vf	Post-Tx-offIS-24M
475	VXV17951	129	Ac	Post-Tx-offIS-24M
476	VXV19527	81	Ac	Post-Tx-offIS-24M
477	VXV19528	59	Hp	Post-Tx-offIS-24M
478	VXV19529	79	Ic	Post-Tx-offIS-24M
479	VXV19530	33	Mb	Post-Tx-offIS-24M
480	VXV19531	185	Pc	Post-Tx-offIS-24M
481	VXV19533	36	Ra	Post-Tx-offIS-24M
482	VXV19534	120	Vf	Post-Tx-offIS-24M
483	VXV18012	238	Ac	Post-Tx-offIS-24M
484	VXV18015	37	Ic	Post-Tx-offIS-24M
485	VXV18016	279	Mb	Post-Tx-offIS-24M
486	VXV18021	200	Ph	Post-Tx-offIS-24M
487	VXV18024	282	Vf	Post-Tx-offIS-24M
488	VXV18026	72	Ac	Post-Tx-offIS-24M
489	VXV18033	86	Hp	Post-Tx-offIS-24M
490	VXV18035	60	Ic	Post-Tx-offIS-24M
491	VXV18038	24	Mb	Post-Tx-offIS-24M
492	VXV18045	80	Ph	Post-Tx-offIS-24M
493	VXV18049	83	Vf	Post-Tx-offIS-24M
494	VXV19539	106	Hp	Post-Tx-offIS-24M
495	VXV19540	104	Ic	Post-Tx-offIS-24M
496	VXV19541	167	Mb	Post-Tx-offIS-24M
497	VXV19543	281	Ph	Post-Tx-offIS-24M
498	VXV19544	100	Ra	Post-Tx-offIS-24M
499	VXV19545	269	Vf	Post-Tx-offIS-24M
500	VXV19546	389	Ac	Post-Tx-offIS-24M
501	VXV19547	320	Hp	Post-Tx-offIS-24M
502	VXV19548	182	Ic	Post-Tx-offIS-24M
503	VXV19549	237	Mb	Post-Tx-offIS-24M
504	VXV19550	293	Pc	Post-Tx-offIS-24M
505	VXV19551	75	Ph	Post-Tx-offIS-24M
506	VXV19552	237	Ra	Post-Tx-offIS-24M
507	VXV19553	349	Vf	Post-Tx-offIS-24M
508	VXV19554	222	Ac	Post-Tx-offIS-24M
509	VXV19555	201	Hp	Post-Tx-offIS-24M
510	VXV19556	217	Ic	Post-Tx-offIS-24M
511	VXV19557	199	Mb	Post-Tx-offIS-24M
512	VXV19558	171	Pc	Post-Tx-offIS-24M
513	VXV19559	322	Ph	Post-Tx-offIS-24M
514	VXV19560	75	Ra	Post-Tx-offIS-24M
515	VXV19561	176	Vf	Post-Tx-offIS-24M
516	VXV19574	178	Ac	Post-Tx-offIS-24M
517	VXV19575	106	Hp	Post-Tx-offIS-24M
518	VXV19576	72	Ic	Post-Tx-offIS-24M
519	VXV19577	155	Mb	Post-Tx-offIS-24M
520	VXV19578	228	Pc	Post-Tx-offIS-24M
521	VXV19579	271	Ph	Post-Tx-offIS-24M
522	VXV19580	30	Ra	Post-Tx-offIS-24M
