subject_id	Classification	Group	mean_abu
DPt07	Betapapillomavirus	Donor	3.1114223e-05
DPt07	Deltapolyomavirus	Donor	0.00918090047
DPt07	Gammapapillomavirus	Donor	0.0009582533237
DPt07	Herpesviridae	Donor	4.172644e-06
DPt07	Molluscipoxvirus	Donor	1.5918252e-05
DPt07	Others	Donor	4.9897599907945
DPt07	Papillomaviridae	Donor	0
DPt07	Polyomaviridae	Donor	4.4498409e-05
DPt09	Alphapolyomavirus	Donor	2.834572e-05
DPt09	Betapapillomavirus	Donor	2.0623716e-05
DPt09	Deltapolyomavirus	Donor	0
DPt09	Gammapapillomavirus	Donor	1.69139688e-05
DPt09	Herpesviridae	Donor	1.659262e-06
DPt09	Molluscipoxvirus	Donor	3.7030136e-05
DPt09	Others	Donor	4.9998954271972
DPt09	Papillomaviridae	Donor	0
DPt09	Polyomaviridae	Donor	0
DPt08	Alphapolyomavirus	Donor	2.3243079e-05
DPt08	Betapapillomavirus	Donor	0.012656649084
DPt08	Deltapolyomavirus	Donor	0.00233912588
DPt08	Gammapapillomavirus	Donor	0.00182850762
DPt08	Herpesviridae	Donor	1.8448673e-05
DPt08	Molluscipoxvirus	Donor	6.490591e-07
DPt08	Others	Donor	4.9830831319314
DPt08	Papillomaviridae	Donor	5.02446735e-05
DPt08	Polyomaviridae	Donor	0
DPt10	Alphapolyomavirus	Donor	2.5899238e-05
DPt10	Betapapillomavirus	Donor	0.000214400129
DPt10	Deltapolyomavirus	Donor	2.115333e-05
DPt10	Gammapapillomavirus	Donor	0.00167816903
DPt10	Herpesviridae	Donor	0.000125995116
DPt10	Molluscipoxvirus	Donor	2.295708e-06
DPt10	Others	Donor	4.997003543986
DPt10	Papillomaviridae	Donor	0.000926495804
DPt10	Polyomaviridae	Donor	2.047659e-06
DPt15	Alphapolyomavirus	Donor	0
DPt15	Betapapillomavirus	Donor	9.36991e-05
DPt15	Deltapolyomavirus	Donor	1.1042875e-05
DPt15	Gammapapillomavirus	Donor	0.0021422792157
DPt15	Herpesviridae	Donor	7.611227e-07
DPt15	Molluscipoxvirus	Donor	2.445175e-05
DPt15	Others	Donor	4.9976949837626
DPt15	Papillomaviridae	Donor	1.4025632e-05
DPt15	Polyomaviridae	Donor	1.8756542e-05
DPt14	Alphapolyomavirus	Donor	0.005358960881
DPt14	Betapapillomavirus	Donor	0.0001483155374
DPt14	Deltapolyomavirus	Donor	0.00662402194
DPt14	Gammapapillomavirus	Donor	0.000156894247
DPt14	Herpesviridae	Donor	0
DPt14	Molluscipoxvirus	Donor	1.548468e-06
DPt14	Others	Donor	4.9877086178286
DPt14	Papillomaviridae	Donor	1.641098e-06
DPt14	Polyomaviridae	Donor	0
Hv05	Alphapolyomavirus	HVs	0
Hv05	Betapapillomavirus	HVs	0.011069855712
Hv05	Deltapolyomavirus	HVs	0
Hv05	Gammapapillomavirus	HVs	0.016215693055
Hv05	Herpesviridae	HVs	0
Hv05	Molluscipoxvirus	HVs	1.2909303e-05
Hv05	Others	HVs	5.972682657393
Hv05	Papillomaviridae	HVs	1.8884537e-05
Hv05	Polyomaviridae	HVs	0
Hv05	Poxviridae	HVs	0
Hv06	Alphapolyomavirus	HVs	0
Hv06	Betapapillomavirus	HVs	3.49673046e-05
Hv06	Deltapolyomavirus	HVs	0
Hv06	Gammapapillomavirus	HVs	0.0001287326926
Hv06	Herpesviridae	HVs	0.00012097682
Hv06	Molluscipoxvirus	HVs	3.461623e-06
Hv06	Others	HVs	5.9997118615598
Hv06	Papillomaviridae	HVs	0
Hv06	Polyomaviridae	HVs	0
Hv06	Poxviridae	HVs	0
Pt01	Alphapolyomavirus	Post-Tx-offIS-24M	0.0004989516
Pt01	Alphapolyomavirus	Pre-Tx	8.065924e-07
Pt01	Anelloviridae	Post-Tx-offIS-24M	0
Pt01	Anelloviridae	Pre-Tx	0
Pt01	Betapapillomavirus	Post-Tx-offIS-24M	0.003164992377
Pt01	Betapapillomavirus	Pre-Tx	0.4496980461398
Pt01	Deltapolyomavirus	Post-Tx-offIS-24M	0
Pt01	Deltapolyomavirus	Pre-Tx	0
Pt01	Gammapapillomavirus	Post-Tx-offIS-24M	0.00856056285
Pt01	Gammapapillomavirus	Pre-Tx	3.4107923006985
Pt01	Herpesviridae	Post-Tx-offIS-24M	0
Pt01	Herpesviridae	Pre-Tx	1.1458266e-05
