site_specific	kingdom	group	mean_fold	sd
Ac	Fungi	Post-Tx-onIS-1M	0.870214086050922	0.79238506207429
Ac	Fungi	Post-Tx-onIS-2M	1.01469588377438	0.438038471943619
Ac	Fungi	Post-Tx-onIS-3M	0.955400169579311	0.754503453367332
Ac	Fungi	Post-Tx-onIS-6M	1.46505703530876	1.97287091563664
Ac	Fungi	Pre-Tx	0	NA
Ic	Bacteria	Post-Tx-offIS-12M	1.05363174065032	0.729992281179589
Ic	Bacteria	Post-Tx-offIS-24M	1.09423394912298	0.910093705875455
Ic	Bacteria	Post-Tx-onIS-1M	0.478926392091451	0.610308245403986
Ic	Bacteria	Post-Tx-onIS-2M	1.0839630209255	0.903228017410328
Ic	Bacteria	Post-Tx-onIS-3M	0.263281409553722	1.00824711804867
Ic	Bacteria	Post-Tx-onIS-6M	0.76823762699822	1.00216156872986
Ic	Bacteria	Pre-Tx	0	NA
Ic	Eukaryotic virus	Post-Tx-offIS-12M	-2.08300955714848	1.58130028577733
Ic	Eukaryotic virus	Post-Tx-offIS-24M	-3.79886874441162	1.3273330081164
Ic	Eukaryotic virus	Post-Tx-onIS-1M	1.41792118344291	1.01122888820499
Ic	Eukaryotic virus	Post-Tx-onIS-2M	2.9935833143531	0.930193940932409
Ic	Eukaryotic virus	Post-Tx-onIS-3M	1.38011945504297	1.78671382489585
Ic	Eukaryotic virus	Post-Tx-onIS-6M	0.427504249886197	1.91968171610515
Ic	Eukaryotic virus	Pre-Tx	0	NA
Ic	Fungi	Post-Tx-offIS-12M	2.11102730205353	1.19439083590421
Ic	Fungi	Post-Tx-offIS-24M	1.80441202679499	1.26515087265052
Ic	Fungi	Post-Tx-onIS-1M	0.994203350130294	0.535122062730476
Ic	Fungi	Post-Tx-onIS-2M	1.71184820736887	0.0798065871313407
Ic	Fungi	Post-Tx-onIS-3M	0.912575251011234	1.10714061789685
Ic	Fungi	Post-Tx-onIS-6M	1.91612671627054	1.32639577454763
Ic	Fungi	Pre-Tx	0	NA
Pc	Bacteria	Post-Tx-offIS-12M	0.623158324784092	0.772337648569687
Pc	Bacteria	Post-Tx-offIS-24M	1.20780274274839	0.820615345119682
Pc	Bacteria	Post-Tx-onIS-1M	-0.102263651582091	1.25242511011593
Pc	Bacteria	Post-Tx-onIS-2M	0.262587654359089	0.892651591200791
Pc	Bacteria	Post-Tx-onIS-3M	-0.238946697039528	0.518379013611355
Pc	Bacteria	Post-Tx-onIS-6M	0.581886642877683	1.00383228292815
Pc	Bacteria	Pre-Tx	0	NA
Pc	Eukaryotic virus	Post-Tx-offIS-12M	-2.17450780918523	1.89984999088199
Pc	Eukaryotic virus	Post-Tx-offIS-24M	-3.14481630028874	1.94266304293318
Pc	Eukaryotic virus	Post-Tx-onIS-1M	0.389598920099087	1.24091036154205
Pc	Eukaryotic virus	Post-Tx-onIS-2M	1.15698594132906	1.12269540758785
Pc	Eukaryotic virus	Post-Tx-onIS-3M	0.934116602491717	0.79057761738041
Pc	Eukaryotic virus	Post-Tx-onIS-6M	0.0746750412553017	2.19267321645624
Pc	Eukaryotic virus	Pre-Tx	0	NA
Pc	Fungi	Post-Tx-offIS-12M	1.69045115812069	1.72799045044065
Pc	Fungi	Post-Tx-offIS-24M	1.68722089126866	1.38125768233539
Pc	Fungi	Post-Tx-onIS-1M	0.527580174528551	0.859298362025205
Pc	Fungi	Post-Tx-onIS-2M	0.848613479386421	0.553241508475239
Pc	Fungi	Post-Tx-onIS-3M	0.917516223434269	0.841697688184607
Pc	Fungi	Post-Tx-onIS-6M	1.50119007348954	1.70529029786025
Pc	Fungi	Pre-Tx	0	NA
Ph	Bacteria	Post-Tx-offIS-12M	0.888042487811324	1.07684904345415
Ph	Bacteria	Post-Tx-offIS-24M	0.86422940373469	1.14863254565388
Ph	Bacteria	Post-Tx-onIS-1M	-0.121539390771241	0.754730117723922
Ph	Bacteria	Post-Tx-onIS-2M	0.535337547872178	0.950265941811249
Ph	Bacteria	Post-Tx-onIS-3M	0.456278897834133	1.56002236868685
Ph	Bacteria	Post-Tx-onIS-6M	1.42920960664055	0.913042262410882
Ph	Bacteria	Pre-Tx	0	NA
Ph	Eukaryotic virus	Post-Tx-offIS-12M	-1.23405538576897	1.11142299462609
Ph	Eukaryotic virus	Post-Tx-offIS-24M	-2.35025434736587	1.52610183153721
Ph	Eukaryotic virus	Post-Tx-onIS-1M	0.806649257031762	0.539510624050061
Ph	Eukaryotic virus	Post-Tx-onIS-2M	0.934745495704651	1.12679045459944
Ph	Eukaryotic virus	Post-Tx-onIS-3M	0.482405369682832	1.28960292640771
Ph	Eukaryotic virus	Post-Tx-onIS-6M	-0.27909875934814	0.921510345274798
Ph	Eukaryotic virus	Pre-Tx	0	NA
Ph	Fungi	Post-Tx-offIS-12M	0.944079288736835	1.26128391474504
Ph	Fungi	Post-Tx-offIS-24M	0.753020345934952	0.723506950920009
Ph	Fungi	Post-Tx-onIS-1M	-0.0286808966217657	0.232450188584045
Ph	Fungi	Post-Tx-onIS-2M	0.563085251798186	0.877972833958493
Ph	Fungi	Post-Tx-onIS-3M	0.47028056235758	1.12449747369226
Ph	Fungi	Post-Tx-onIS-6M	1.59508297707683	1.03962556863571
Ph	Fungi	Pre-Tx	0	NA
