subject_id	kingdom	Group	mean_abu_norm_bs
Pt08	Fungi	Pre-Tx	0.002081999699258
Pt08	Fungi	Post-Tx-offIS-12M	0.01052613705492
Pt08	Fungi	Post-Tx-offIS-24M	0.4015998840282
Pt08	Phage	Pre-Tx	0.0516020943488
Pt08	Phage	Post-Tx-offIS-12M	0.05800816988
Pt08	Phage	Post-Tx-offIS-24M	0.10398620813
Pt06	Bacteria	Pre-Tx	0.160800396915207
Pt06	Bacteria	Post-Tx-offIS-12M	5.364431012115
Pt06	Bacteria	Post-Tx-offIS-24M	5.86759715889142
Pt06	Eukaryotic virus	Pre-Tx	7.8228293534789
Pt06	Eukaryotic virus	Post-Tx-offIS-12M	2.236931382027
Pt06	Eukaryotic virus	Post-Tx-offIS-24M	0.9921955784
Pt06	Fungi	Pre-Tx	0.0008113265849036
Pt06	Fungi	Post-Tx-offIS-12M	0.30430522322504
Pt06	Fungi	Post-Tx-offIS-24M	0.37134126180432
Pt06	Phage	Pre-Tx	0.015558852975
Pt06	Phage	Post-Tx-offIS-12M	0.09433265658
Pt06	Phage	Post-Tx-offIS-24M	0.76886589651
Pt16	Bacteria	Pre-Tx	3.6499434669279
Pt16	Bacteria	Post-Tx-onIS-6M	1.31048066726088
Pt16	Bacteria	Post-Tx-offIS-12M	2.6729134661971
Pt16	Eukaryotic virus	Pre-Tx	4.3414147964
Pt16	Eukaryotic virus	Post-Tx-onIS-6M	6.5710050101856
Pt16	Eukaryotic virus	Post-Tx-offIS-12M	5.12626592179
Pt16	Fungi	Pre-Tx	0.008449314736
Pt16	Fungi	Post-Tx-onIS-6M	0.104595952936349
Pt16	Fungi	Post-Tx-offIS-12M	0.12956305571267
Pt16	Phage	Pre-Tx	0.00019246003
Pt16	Phage	Post-Tx-onIS-6M	0.01391836420117
Pt16	Phage	Post-Tx-offIS-12M	0.07125764507
Pt15	Bacteria	Pre-Tx	0.181776664405186
Pt15	Bacteria	Post-Tx-onIS-6M	0.996978504709291
Pt15	Bacteria	Post-Tx-offIS-12M	5.4079162214185
Pt15	Eukaryotic virus	Pre-Tx	7.8170107633918
Pt15	Eukaryotic virus	Post-Tx-onIS-6M	6.974601910453
Pt15	Eukaryotic virus	Post-Tx-offIS-12M	2.420298687574
Pt15	Fungi	Pre-Tx	0.000684252500245
Pt15	Fungi	Post-Tx-onIS-6M	0.0046052350683366
Pt15	Fungi	Post-Tx-offIS-12M	0.1471961941379
Pt15	Phage	Pre-Tx	0.0005284257
Pt15	Phage	Post-Tx-onIS-6M	0.0238142304218
Pt15	Phage	Post-Tx-offIS-12M	0.02458897355
Pt14	Bacteria	Pre-Tx	2.37620322300121
Pt14	Bacteria	Post-Tx-offIS-12M	5.19507747330394
Pt14	Eukaryotic virus	Pre-Tx	5.420424790585
Pt14	Eukaryotic virus	Post-Tx-offIS-12M	2.2738740756545
Pt14	Fungi	Pre-Tx	0.00436296665913
Pt14	Fungi	Post-Tx-offIS-12M	0.038975818201461
Pt14	Phage	Pre-Tx	0.199009245593
Pt14	Phage	Post-Tx-offIS-12M	0.492072713015
Pt18	Bacteria	Pre-Tx	0.0057588625821182
Pt18	Bacteria	Post-Tx-onIS-3M	0.0870997054376985
Pt18	Bacteria	Post-Tx-onIS-6M	1.00498801147284
Pt18	Bacteria	Post-Tx-offIS-12M	2.56925815469924
Pt18	Eukaryotic virus	Pre-Tx	7.9941271535128
Pt18	Eukaryotic virus	Post-Tx-onIS-3M	7.9111870219922
Pt18	Eukaryotic virus	Post-Tx-onIS-6M	6.94480471108
Pt18	Eukaryotic virus	Post-Tx-offIS-12M	4.774719244466
Pt18	Fungi	Pre-Tx	1.06389563849e-05
Pt18	Fungi	Post-Tx-onIS-3M	5.58059278511e-05
Pt18	Fungi	Post-Tx-onIS-6M	0.00860993593351
Pt18	Fungi	Post-Tx-offIS-12M	0.047312692412036
Pt18	Phage	Pre-Tx	0.0001033248499
Pt18	Phage	Post-Tx-onIS-3M	0.00165766279725
Pt18	Phage	Post-Tx-onIS-6M	0.041597492709
Pt18	Phage	Post-Tx-offIS-12M	0.60871000451
Pt17	Bacteria	Pre-Tx	0.0648316528289375
Pt17	Bacteria	Post-Tx-onIS-6M	0.29452075104982
